"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSTGUP00000010255","ENSTGUG00000009941","TOB2","transducer of ERBB2, 2 [Source:UniProtKB Gene Name;Acc:A0A674HQ12]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010272","ENSTGUG00000009954","CMKLR2","chemerin chemokine-like receptor 2 [Source:UniProtKB Gene Name;Acc:A0A674GZK6]","complement receptor mediated signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000010292","ENSTGUG00000009976","CTSH","cathepsin H [Source:UniProtKB Gene Name;Acc:H0ZI75]","T cell mediated cytotoxicity; adaptive immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010301","ENSTGUG00000009986","GALNT2","polypeptide N-acetylgalactosaminyltransferase 2 [Source:UniProtKB Gene Name;Acc:A0A674H417]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010327","ENSTGUG00000010005","ABCB10","ATP binding cassette subfamily B member 10 [Source:UniProtKB Gene Name;Acc:H0ZIB0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010330","ENSTGUG00000009988","BCR","BCR activator of RhoGEF and GTPase [Source:UniProtKB Gene Name;Acc:H0ZIB3]","macrophage migration; neutrophil degranulation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010343","ENSTGUG00000010016","EP300","E1A binding protein p300 [Source:UniProtKB Gene Name;Acc:H0ZIC6]","B cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010350","ENSTGUG00000010035","RBX1","ring-box 1 [Source:NCBI gene (formerly Entrezgene);Acc:100190092]","T cell activation","ZebraFinch","biomartGO"
"ENSTGUP00000010376","ENSTGUG00000010030","LEPR","leptin receptor [Source:NCBI gene (formerly Entrezgene);Acc:100229897]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010387","ENSTGUG00000010060","RAB4A","RAB4A, member RAS onco family [Source:UniProtKB Gene Name;Acc:H0ZIH0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010413","ENSTGUG00000010082","REV1","REV1 DNA directed polymerase [Source:UniProtKB Gene Name;Acc:A0A674G7J6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010426","ENSTGUG00000010097","EIF2B5","eukaryotic translation initiation factor 2B subunit epsilon [Source:UniProtKB Gene Name;Acc:H0ZIK9]","T cell receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010444","ENSTGUG00000010113","FES","FES proto-onco, tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A674H1X3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010463","ENSTGUG00000010147","RAG1","recombination activating 1 [Source:UniProtKB Gene Name;Acc:H0ZIP6]","B cell differentiation; T cell differentiation in thymus; T cell homeostasis; V(D)J recombination; adaptive immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010466","ENSTGUG00000010149","FZD7","frizzled class receptor 7 [Source:UniProtKB Gene Name;Acc:H0ZIP9]","T cell differentiation in thymus","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010468","ENSTGUG00000010148","RAG2","recombination activating 2 [Source:UniProtKB Gene Name;Acc:H0ZIQ1]","B cell differentiation; DN2 thymocyte differentiation; T cell differentiation; T cell differentiation in thymus; V(D)J recombination","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010479","ENSTGUG00000010157","TRIM8","tripartite motif containing 8 [Source:UniProtKB Gene Name;Acc:H0ZIR2]","innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010488","ENSTGUG00000010159","YES1","YES proto-onco 1, Src family tyrosine kinase [Source:UniProtKB Gene Name;Acc:H0ZIS1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010508","ENSTGUG00000010171","IL5RA","interleukin 5 receptor subunit alpha [Source:UniProtKB Gene Name;Acc:H0ZIU1]","inflammatory response to antigenic stimulus","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010520","ENSTGUG00000010195","COLEC12","collectin subfamily member 12 [Source:UniProtKB Gene Name;Acc:H0ZIV3]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010539","ENSTGUG00000010204","THOC1","THO complex subunit 1 [Source:UniProtKB Gene Name;Acc:H0ZIX1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010565","ENSTGUG00000010239","TAB1","TGF-beta activated kinase 1 (MAP3K7) binding protein 1 [Source:UniProtKB Gene Name;Acc:H0ZIZ7]","cGAS/STING signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010592","ENSTGUG00000010265","PDGFB","platelet derived growth factor subunit B [Source:UniProtKB Gene Name;Acc:H0ZJ24]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010612","ENSTGUG00000010253","ROCK1","Rho associated coiled-coil containing protein kinase 1 [Source:UniProtKB Gene Name;Acc:H0ZJ44]","leukocyte migration","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010649","ENSTGUG00000010325","","C-C motif chemokine 3-like [Source:NCBI gene;Acc:100229516]","antimicrobial humoral immune response mediated by antimicrobial peptide; eosinophil chemotaxis; immune response","ZebraFinch","biomartGO"
"ENSTGUP00000010657","ENSTGUG00000010335","VPREB3","V-set pre-B cell surrogate light chain 3 [Source:UniProtKB Gene Name;Acc:H0ZJ89]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010666","ENSTGUG00000010331","TP53BP1","tumor protein p53 binding protein 1 [Source:UniProtKB Gene Name;Acc:H0ZJ98]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010669","ENSTGUG00000010339","SH3PXD2A","SH3 and PX domains 2A [Source:UniProtKB Gene Name;Acc:H0ZJA1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010705","ENSTGUG00000010376","GPR137B","G protein-coupled receptor 137B [Source:UniProtKB Gene Name;Acc:H0ZJD7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010725","ENSTGUG00000010394","LGALS8","galectin 8 [Source:UniProtKB Gene Name;Acc:H0ZJF7]","T cell costimulation","ZebraFinch","biomartGO"
"ENSTGUP00000010734","ENSTGUG00000010392","RIOK3","RIO kinase 3 [Source:UniProtKB Gene Name;Acc:H0ZJG6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010755","ENSTGUG00000010386","EPHB3","EPH receptor B3 [Source:UniProtKB Gene Name;Acc:H0ZJI7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010770","ENSTGUG00000010433","PLA2G6","phospholipase A2 group VI [Source:UniProtKB Gene Name;Acc:A0A674HEU9]","antibacterial humoral response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010778","ENSTGUG00000010449","IRAK2","interleukin 1 receptor associated kinase 2 [Source:UniProtKB Gene Name;Acc:H0ZUM6]","toll-like receptor 4 signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000010788","ENSTGUG00000010446","THOC5","THO complex subunit 5 [Source:UniProtKB Gene Name;Acc:A0A674H1Z6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010811","ENSTGUG00000010475","NR1H3","nuclear receptor subfamily 1 group H member 3 [Source:UniProtKB Gene Name;Acc:A0A674GLK3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010814","ENSTGUG00000010471","ADD1","adducin 1 [Source:UniProtKB Gene Name;Acc:A0A674HV67]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010833","ENSTGUG00000010505","TNIP2","TNFAIP3 interacting protein 2 [Source:UniProtKB Gene Name;Acc:A0A674GET6]","toll-like receptor 2 signaling pathway; toll-like receptor 3 signaling pathway; toll-like receptor 9 signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010834","ENSTGUG00000010502","ANKRD54","ankyrin repeat domain 54 [Source:UniProtKB Gene Name;Acc:H0ZJR5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010866","ENSTGUG00000010537","LIF","LIF interleukin 6 family cytokine [Source:UniProtKB Gene Name;Acc:H0ZJU7]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000010873","ENSTGUG00000010538","HSPD1","heat shock protein family D (Hsp60) member 1 [Source:UniProtKB Gene Name;Acc:H0ZJV4]","B cell activation; MyD88-dependent toll-like receptor signaling pathway; T cell activation; isotype switching to IgG isotypes","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010974","ENSTGUG00000010641","MDK","midkine [Source:UniProtKB Gene Name;Acc:H0ZK54]","T cell activation involved in immune response; leukocyte chemotaxis involved in inflammatory response","ZebraFinch","biomartGO"
"ENSTGUP00000010981","ENSTGUG00000010648","EXO1","exonuclease 1 [Source:UniProtKB Gene Name;Acc:A0A674GBJ3]","immune system process; isotype switching; somatic hypermutation of immunoglobulin genes","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010983","ENSTGUG00000010650","RAC2","Rac family small GTPase 2 [Source:UniProtKB Gene Name;Acc:A0A674HBK0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010989","ENSTGUG00000010646","MAEA","macrophage erythroblast attacher, E3 ubiquitin ligase [Source:NCBI gene (formerly Entrezgene);Acc:100190108]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011002","ENSTGUG00000010671","SPON2","spondin 2 [Source:UniProtKB Gene Name;Acc:H0ZK82]","immune system process; induction of bacterial agglutination; innate immune response; opsonization","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011027","ENSTGUG00000010698","CRLF2","cytokine receptor like factor 2 [Source:UniProtKB Gene Name;Acc:H0ZKA7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011039","ENSTGUG00000010699","SLC39A10","solute carrier family 39 member 10 [Source:UniProtKB Gene Name;Acc:A0A674HBE8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011045","ENSTGUG00000010712","MAPK8IP1","mitogen-activated protein kinase 8 interacting protein 1 [Source:UniProtKB Gene Name;Acc:A0A674GXS5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011050","ENSTGUG00000010709","GPAM","glycerol-3-phosphate acyltransferase, mitochondrial [Source:UniProtKB Gene Name;Acc:H0ZKD7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011057","ENSTGUG00000010709","GPAM","glycerol-3-phosphate acyltransferase, mitochondrial [Source:UniProtKB Gene Name;Acc:H0ZKD7]","activated T cell proliferation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011083","ENSTGUG00000010754","RAB32","RAB32, member RAS onco family [Source:UniProtKB Gene Name;Acc:H0ZKG3]","antigen processing and presentation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011110","ENSTGUG00000010777","DLL4","delta like canonical Notch ligand 4 [Source:UniProtKB Gene Name;Acc:H0ZKJ0]","T cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011121","ENSTGUG00000010782","TNFSF13B","TNF superfamily member 13b [Source:UniProtKB Gene Name;Acc:H0ZKK1]","B cell costimulation; B cell differentiation; B cell homeostasis; T cell costimulation; T cell proliferation; immune response","ZebraFinch","biomartGO"
"ENSTGUP00000011124","ENSTGUG00000010795","LIG4","DNA ligase 4 [Source:UniProtKB Gene Name;Acc:H0ZKK3]","DN2 thymocyte differentiation; T cell receptor V(D)J recombination; V(D)J recombination; immunoglobulin V(D)J recombination; isotype switching","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011135","ENSTGUG00000023595","EFNB2","ephrin B2 [Source:UniProtKB Gene Name;Acc:H0ZKL4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011136","ENSTGUG00000010768","STAT1","signal transducer and activator of transcription 1 [Source:UniProtKB Gene Name;Acc:A0A674GMH8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011137","ENSTGUG00000010746","MYH9","myosin heavy chain 9 [Source:UniProtKB Gene Name;Acc:H0ZKL6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011146","ENSTGUG00000025671","RBFOX2","RNA binding fox-1 homolog 2 [Source:UniProtKB Gene Name;Acc:A0A674GQ24]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011151","ENSTGUG00000010819","TNFSF10","TNF superfamily member 10 [Source:UniProtKB Gene Name;Acc:H0ZKN0]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011155","ENSTGUG00000010818","MB","myoglobin [Source:UniProtKB Gene Name;Acc:H0ZKN4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011171","ENSTGUG00000010839","CEBPD","CCAAT enhancer binding protein delta [Source:UniProtKB Gene Name;Acc:H0ZKQ0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011179","ENSTGUG00000010842","HMOX1","heme oxygenase 1 [Source:UniProtKB Gene Name;Acc:H0ZKQ8]","erythrocyte homeostasis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011182","ENSTGUG00000010847","","","adaptive immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000011184","ENSTGUG00000010852","MFSD6","major facilitator superfamily domain containing 6 [Source:UniProtKB Gene Name;Acc:H0ZKR3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011196","ENSTGUG00000010861","MSTN","myostatin [Source:UniProtKB Gene Name;Acc:H0ZKS5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011228","ENSTGUG00000010840","PRKDC","protein kinase, DNA-activated, catalytic subunit [Source:NCBI gene (formerly Entrezgene);Acc:100224961]","T cell differentiation in thymus; T cell receptor V(D)J recombination; V(D)J recombination; activation of innate immune response; cGAS/STING signaling pathway; immunoglobulin V(D)J recombination; lymphocyte differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011231","ENSTGUG00000010895","TNFAIP3","TNF alpha induced protein 3 [Source:UniProtKB Gene Name;Acc:H0ZKV9]","B-1 B cell homeostasis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011233","ENSTGUG00000010889","SLC40A1","solute carrier family 40 member 1 [Source:UniProtKB Gene Name;Acc:H0ZKW1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011247","ENSTGUG00000010909","FBXO7","F-box protein 7 [Source:UniProtKB Gene Name;Acc:H0ZKX5]","lymphocyte differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011252","ENSTGUG00000010896","TYRO3","TYRO3 protein tyrosine kinase [Source:UniProtKB Gene Name;Acc:H0ZKX9]","lymphocyte activation; natural killer cell differentiation","ZebraFinch","biomartGO"
"ENSTGUP00000011289","ENSTGUG00000010956","MAVS","mitochondrial antiviral signaling protein [Source:UniProtKB Gene Name;Acc:H0ZL16]","immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000011290","ENSTGUG00000010953","SKIL","SKI like proto-onco [Source:UniProtKB Gene Name;Acc:A0A674GXZ1]","lymphocyte homeostasis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011299","ENSTGUG00000010965","GPR183","G protein-coupled receptor 183 [Source:UniProtKB Gene Name;Acc:H0ZL26]","T cell chemotaxis; T follicular helper cell differentiation; adaptive immune response; humoral immune response; leukocyte chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011329","ENSTGUG00000010985","OPRK1","opioid receptor kappa 1 [Source:UniProtKB Gene Name;Acc:H0ZL56]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000011379","ENSTGUG00000011029","HSPA12A","heat shock protein family A (Hsp70) member 12A [Source:UniProtKB Gene Name;Acc:A0A674GL79]","macrophage activation","ZebraFinch","biomartGO"
"ENSTGUP00000011383","ENSTGUG00000011039","LOXL3","lysyl oxidase like 3 [Source:UniProtKB Gene Name;Acc:A0A674HR37]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011390","ENSTGUG00000011035","POLR3B","RNA polymerase III subunit B [Source:UniProtKB Gene Name;Acc:H0ZLB7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011392","ENSTGUG00000011044","EZR","ezrin [Source:UniProtKB Gene Name;Acc:H0ZLB9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011422","ENSTGUG00000011070","APPL2","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2 [Source:UniProtKB Gene Name;Acc:H0ZLE9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011433","ENSTGUG00000011056","LYN","LYN proto-onco, Src family tyrosine kinase [Source:UniProtKB Gene Name;Acc:H0ZLG0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011434","ENSTGUG00000011083","WASHC4","WASH complex subunit 4 [Source:UniProtKB Gene Name;Acc:H0ZLG1]","endolysosomal toll-like receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000011466","ENSTGUG00000011116","SNAP23","synaptosome associated protein 23 [Source:UniProtKB Gene Name;Acc:H0ZLJ3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011505","ENSTGUG00000011162","HCFC2","host cell factor C2 [Source:UniProtKB Gene Name;Acc:H0ZLN4]","immune response involved in response to exogenous dsRNA","ZebraFinch","biomartGO"
"ENSTGUP00000011516","ENSTGUG00000011174","TOX","thymocyte selection associated high mobility group box [Source:UniProtKB Gene Name;Acc:A0A674G8D2]","lymphocyte differentiation; natural killer cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011545","ENSTGUG00000011172","ITGB2","integrin subunit beta 2 [Source:UniProtKB Gene Name;Acc:H0ZLS2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011560","ENSTGUG00000011196","CHD7","chromodomain helicase DNA binding protein 7 [Source:UniProtKB Gene Name;Acc:A0A674GLP6]","T cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011574","ENSTGUG00000011229","PTX3","pentraxin 3 [Source:UniProtKB Gene Name;Acc:H0ZLV1]","immune response; innate immune response; opsonization","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011591","ENSTGUG00000011243","YTHDF3","YTH N6-methyladenosine RNA binding protein F3 [Source:UniProtKB Gene Name;Acc:H0ZLW8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011596","ENSTGUG00000011247","CYP7B1","cytochrome P450 family 7 subfamily B member 1 [Source:UniProtKB Gene Name;Acc:H0ZLX3]","B cell chemotaxis","ZebraFinch","biomartGO"
"ENSTGUP00000011621","ENSTGUG00000011269","TRIM55","tripartite motif containing 55 [Source:UniProtKB Gene Name;Acc:A0A674HGG7]","diapedesis; leukocyte migration involved in inflammatory response; macrophage activation; macrophage migration","ZebraFinch","biomartGO"
"ENSTGUP00000011650","ENSTGUG00000011295","PSPC1","paraspeckle component 1 [Source:UniProtKB Gene Name;Acc:H0ZM27]","activation of innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011661","ENSTGUG00000011311","PLEKHA1","pleckstrin homology domain containing A1 [Source:UniProtKB Gene Name;Acc:A0A674H5S5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011671","ENSTGUG00000011317","DHX36","DEAH-box helicase 36 [Source:UniProtKB Gene Name;Acc:H0ZM48]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011694","ENSTGUG00000011348","SUCNR1","succinate receptor 1 [Source:UniProtKB Gene Name;Acc:H0ZM71]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011756","ENSTGUG00000011396","SLC8A3","solute carrier family 8 member A3 [Source:UniProtKB Gene Name;Acc:A0A674H3E8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011856","ENSTGUG00000011495","MYB","MYB proto-onco, transcription factor [Source:UniProtKB Gene Name;Acc:A0A674HPV3]","B cell differentiation; T-helper 2 cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011859","ENSTGUG00000011505","DNM1L","dynamin 1 like [Source:UniProtKB Gene Name;Acc:A0A674GEY6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011867","ENSTGUG00000011509","ARG2","arginase 2 [Source:UniProtKB Gene Name;Acc:H0ZMP4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011890","ENSTGUG00000011514","DOCK1","dedicator of cytokinesis 1 [Source:UniProtKB Gene Name;Acc:H0ZMR6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011913","ENSTGUG00000025134","PTN","pleiotrophin [Source:UniProtKB Gene Name;Acc:H0ZMT9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011918","ENSTGUG00000011566","LY96","lymphocyte antigen 96 [Source:UniProtKB Gene Name;Acc:H0ZMU4]","innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011975","ENSTGUG00000011619","IL7","interleukin 7 [Source:UniProtKB Gene Name;Acc:H0ZN01]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011979","ENSTGUG00000011607","FLT3","fms related receptor tyrosine kinase 3 [Source:UniProtKB Gene Name;Acc:H0ZW24]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000011992","ENSTGUG00000011624","THBS1","thrombospondin 1 [Source:UniProtKB Gene Name;Acc:H0ZN18]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000011997","ENSTGUG00000011632","BRAF","B-Raf proto-onco, serine/threonine kinase [Source:UniProtKB Gene Name;Acc:H0ZN23]","CD4-positive, alpha-beta T cell differentiation; T cell differentiation in thymus; T cell receptor signaling pathway; alpha-beta T cell differentiation; positive T cell selection","ZebraFinch","biomartGO; AvianImmunome"
